BAIRRO,QT_VOTOS_TOTAIS,QT_VOTOS_NEGROS,QT_VOTOS_MULHERES,QT_VOTOS_NULOS,QT_VOTOS_BRANCOS,PARTIDO_MAIS_VOTADO,QT_VOTOS_PARTIDO_MAIS_VOTADO,VEREADOR_MAIS_VOTADO,QT_VOTOS_VEREADOR_MAIS_VOTADO,NUMERO_TOTAL_MORADORES ,RENDAPERCAPTA 
abranches,8514,847,1515,438,720,pode,1606,leonidas dias,1253,14515,1.70945
agua verde,31418,3408,8452,1271,1778,novo,3415,guilherme kilter,1050,50617,4.25357
ahu,9285,869,2544,391,477,novo,966,guilherme kilter,302,12244,4.23862
alto boqueirao,26211,3830,5983,1348,2380,pt,2230,jasson goulart,1154,52161,1.26261
alto da gloria,5554,607,1614,249,289,pt,596,guilherme kilter,126,6540,4.10111
alto da rua xv,62,9,19,2,9,pt,10,giorgia prates - mandata preta,3,8252,3.78423
atuba,5870,519,980,314,591,republicanos,1360,hernani,1141,21287,1.71325
augusta,2153,196,334,106,224,pp,376,nori seto,238,7748,1.09175
bacacheri,23531,2452,6013,1130,1493,pl,2111,josias dias,868,24688,3.01697
bairro alto,25043,2553,4861,1308,1986,republicanos,4094,hernani,3211,43388,1.55588
barreirinha,11586,1475,1971,609,764,pode,2989,leonidas dias,2460,16099,1.60064
batel,15265,1281,4422,480,864,novo,1770,guilherme kilter,598,10027,6.18740
bigorrilho,5443,457,1502,188,278,novo,641,guilherme kilter,187,25846,4.95238
boa vista,16755,1848,4072,846,1207,pode,1952,leonidas dias,962,33019,2.17457
bom retiro,7744,843,2202,382,408,pl,706,guilherme kilter,186,5112,2.93413
boqueirao,46796,5691,8809,2228,3647,republicanos,6046,jasson goulart,4567,66197,1.60285
butiatuvinha,5847,440,999,243,451,prd,1264,sidnei toaldo,1215,13980,1.77173
cabral,9353,901,2755,338,521,novo,971,guilherme kilter,279,14215,4.66912
cachoeira,2712,274,513,138,308,pode,699,leonidas dias,606,12190,1.17291
cajuru,48714,13850,7966,2326,4144,psd,8333,serginho do posto,6594,91440,1.27531
campina do siqueira,930,115,275,29,70,novo,95,guilherme kilter,44,7003,3.08302
campo comprido,8978,1050,2030,457,702,uniao,969,zezinho sabara,300,33936,2.48619
campo de santana,14795,2859,2220,858,1687,uniao,2181,mestre pop,1392,44781,0.94802
capao da imbuia,14570,2430,2689,749,1091,pl,2245,fernando da padaria,1243,18272,1.76695
capao raso,25625,3218,4672,1308,1865,psd,3525,tico kuzma,2337,39201,1.58318
caximba,1950,338,307,108,261,uniao,210,beto moraes,100,8936,0.89694
centro,24825,3561,7628,1031,1763,pt,3271,guilherme kilter,534,39970,3.08991
cidade industrial de curitiba,106284,20581,18004,5410,8907,psd,14560,zezinho sabara,5238,177170,1.13765
cristo rei,11812,1414,3248,519,643,pt,1119,guilherme kilter,336,18835,3.71195
fanny,7393,860,1470,395,593,pp,756,oscalino do povo,443,8623,1.84416
fazendinha,13662,1232,2169,703,950,rede,2543,salles do fazendinha,2396,25639,1.37968
ganchinho,3714,489,771,160,357,uniao,350,jose saurin,214,21382,0.94909
guabirotuba,6168,1033,1308,277,366,cidadania,541,junior alves - goy,318,10808,2.48820
guaira,8184,1639,1716,364,617,psd,1303,edson do parolin,658,15176,1.69624
hauer,10582,1206,2088,505,789,republicanos,1152,jasson goulart,693,11935,1.86935
hugo lange,2687,312,767,114,171,pt,288,guilherme kilter,82,4443,4.39136
jardim botanico,3511,597,998,155,193,republicanos,442,tanaka,309,5475,2.49219
jardim das americas,10905,1801,2586,448,685,pl,1013,serginho do posto,500,15427,3.06290
jardim social,5045,490,1372,204,276,pl,573,guilherme kilter,161,4911,4.77928
juveve,8465,889,2584,305,444,novo,854,guilherme kilter,252,12402,4.44587
lindoia,5591,854,1084,284,361,pp,867,oscalino do povo,577,8522,1.39058
merces,12592,1241,3641,514,691,novo,1236,guilherme kilter,315,12523,3.03718
mossungue,3221,259,851,131,192,novo,409,guilherme kilter,120,13087,5.03938
novo mundo,25858,3342,5157,1408,2012,psd,2675,tico kuzma,1495,42891,1.72668
orleans,1891,187,431,99,137,pp,251,nori seto,184,8514,1.94170
parolin,2974,1265,579,111,199,psd,1065,edson do parolin,919,9941,1.73400
pilarzinho,11113,1054,3159,607,991,psd,1001,rodrigues,513,27544,1.83908
pinheirinho,27949,4272,5490,1490,2529,psd,3330,beto moraes,1364,59086,1.25128
portao,34387,4219,8356,1632,2267,pl,2999,guilherme kilter,942,51735,2.57550
prado velho,4246,578,674,159,254,republicanos,1326,tanaka,1123,4865,1.06528
reboucas,9970,1264,2699,452,658,pt,869,guilherme kilter,267,13998,2.83112
santa candida,19695,2371,4372,1185,1959,pode,1760,leonidas dias,781,43672,1.47179
santa felicidade,22237,2120,4524,1106,1582,prd,3088,sidnei toaldo,2875,33446,2.35270
santa quiteria,12964,1788,3150,670,913,uniao,1066,guilherme kilter,302,11091,2.01930
santo inacio,10627,904,2521,501,652,pp,1122,nori seto,637,7017,2.56838
sao braz,12416,1068,2513,603,973,pp,1971,nori seto,1480,24188,1.89137
sao francisco,4382,611,1327,183,222,pt,525,guilherme kilter,124,4974,2.83730
sao lourenco,6790,706,1713,319,398,pode,937,leonidas dias,444,6158,3.56940
sao miguel,136,40,48,3,13,prd,27,eryka do corbelia,23,7269,0.85489
seminario,9489,989,2626,329,499,novo,1042,guilherme kilter,334,5702,4.10309
sitio cercado,59605,6831,10817,3411,5416,pdt,7300,marcos vieira,6538,102979,1.06680
taboao,984,102,233,50,96,psd,131,mauro ignacio,72,3578,1.86765
taruma,5086,676,1054,239,320,pl,786,fernando da padaria,375,7108,2.97379
tatuquara,27429,5768,4320,1387,2958,pp,3118,rogerio campos,1984,58166,0.90364
tingui,6661,667,1533,323,473,agir,933,josias dias,849,12517,1.90293
uberaba,38507,7584,6909,1907,3358,pl,3465,jeferson salles,1506,75447,1.62351
umbara,10188,1412,1448,525,981,pp,2102,bobato,1754,23177,1.16404
vila izabel,1307,172,389,51,84,novo,136,guilherme kilter,49,13437,3.39090
vista alegre,7692,760,1971,395,571,pl,586,mauro ignacio,175,11016,2.89873
xaxim,34882,5429,5998,1715,2560,pp,3713,lorens nogueira,2146,59875,1.53217